LATITUDE,LONGITUDE,PRCP
36.1885,-85.5789,314.7
41.4083,-84.8536,90.9
40.7115,-82.7678,112.3
36.3911,-86.4823,264.4
37.9101,-86.1364,279.4
35.849,-90.6589,354.6
36.5892,-87.7994,274.4
36.276,-86.547,282.2
41.6117,-90.5816,72.5
41.9342,-88.7756,70.2
42.3995,-90.386,84.2
38.493,-88.9703,180.8
37.2504,-86.2325,225.2
36.2387,-86.5716,287
35.5567,-87.5414,333.8
37.956,-86.1162,182.4
35.7595,-91.6384,326.6
41.3416,-85.4156,142.2
41.9058,-88.2555,136.1
41.617,-87.2546,144.5
35.5509,-87.5536,338.8
35.2028,-86.7777,284.4
40.9302,-82.3505,251.8
41.6654,-84.4244,116.4
36.8585,-87.4943,229.1
35.2315,-86.606,265.5
35.9262,-86.92,281.2
35.109,-86.6543,229
35.1625,-86.6683,277.2
36.1056,-82.8436,141.5
43.6408,-87.905,37
39.5853,-84.1493,164.2
40.8126,-82.9698,121.2
39.9685,-86.1369,115.6
35.5497,-89.7,326.1
36.86,-87.838,278.3
35.0415,-86.5769,296.7
35.1473,-86.5899,298
35.0693,-91.8879,364.3
39.7312,-86.1563,119
35.026,-86.554,284.9
39.9521,-82.4824,143.9
39.8546,-84.2112,136.7
40.5355,-82.5628,159.4
34.8816,-82.3224,80.9
38.7503,-84.049,256
41.2144,-85.1242,116.8
37.5319,-87.2669,125.1
41.1207,-85.0895,110.6
40.9915,-85.0029,114.7
34.8954,-82.273,131.1
39.3326,-91.1884,89.5
38.1227,-83.5327,205.3
41.4229,-82.7905,70.5
36.0252,-85.0271,280.3
35.4418,-82.2543,143.2
43.843,-87.8194,40.2
38.82075,-82.18171,178.6
35.8725,-85.0704,229
42.8225,-88.3805,74.7
35.9353,-86.8009,241.9
43.1156,-88.8128,77
38.4843,-86.1742,213.1
42.6042,-84.6749,114.7
42.3042,-91.341,60
41.3621,-82.5745,69.4
39.294,-82.0793,206.9
41.3262,-82.492,84
35.9253,-82.2692,112.7
36.8147,-87.8816,270.3
35.9941,-87.0962,269.7
43.3311,-88.4113,75.2
35.0761,-89.743,335.8
40.558,-87.891,127.4
39.4676,-82.1336,196
39.36444,-84.52472,141
39.2728,-82.243,200.3
39.3722,-81.9231,217.1
39.59361,-84.22639,148.2
35.9591,-86.7729,253.8
35.9662,-86.8885,277.3
35.9397,-87.1718,281.8
42.3778,-87.9674,79.2
38.8882,-86.5707,171.4
43.786,-90.7952,23
37.8299,-84.0347,196.9
35.2311,-82.7218,213.2
39.7729,-86.2799,131.7
38.7016,-91.4313,128.3
38.1564,-92.2358,179.8
35.1486,-82.621,224.6
35.1482,-82.6096,279.5
35.2074,-82.7428,193.3
42.0742,-88.7076,76.3
35.94028,-89.83083,266.5
41.569,-85.8536,178.1
40.8483,-84.9299,99.8
42.749,-86.202,114.9
39.7169,-86.2417,114.3
41.4511,-90.1487,94.3
35.6656,-86.0636,266.4
42.7569,-84.7453,117.4
41.3671,-87.1623,187.7
35.4945,-82.6142,124.8
35.4185,-82.5567,148.8
41.2541,-89.3379,122.1
39.4459,-89.7846,129.7
36.7217,-82.5367,238.4
36.2455,-85.945,285.1
41.5586,-85.8287,202.3
40.8234,-89.6814,133.4
35.6878,-83.5373,186
35.1688,-84.6135,186.2
35.9893,-86.7904,266.4
40.0638,-85.6916,109
40.8865,-89.641,125.7
35.2551,-82.7351,221.2
35.9727,-86.7521,240.7
39.8795,-84.1278,137.9
43.0519,-88.1775,71.1
35.2466,-82.7262,195.6
40.8784,-87.8462,167.4
39.4469,-89.8053,100.4
39.1025,-90.343,102.8
40.1689,-92.1294,83.9
39.7713,-85.7739,120.6
38.3471,-89.1782,191.8
35.2247,-82.1908,162
39.2445,-89.9236,111.2
42.188,-87.959,97.3
42.6758,-89.0761,110.5
41.6425,-86.0415,190.2
41.8571,-88.3823,109.6
39.0629,-84.5454,195.2
35.18038,-83.39294,166.1
41.5578,-85.8834,203.5
42.3842,-85.9625,89.8
39.0658,-84.5017,195.4
42.6333,-89.3866,94.1
39.6807,-84.3954,150.3
34.8734,-82.4855,120.8
35.1131,-89.2122,383.9
36.0818,-86.5969,236.1
42.9944,-88.8041,85.9
37.1275,-88.653,169.4
35.5128,-91.9955,345.7
41.2839,-82.8408,91
35.22844,-82.73575,255.9
43.1936,-84.1113,97.9
43.0939,-85.6428,105.7
35.96889,-87.13639,289.9
42.9608,-90.1161,72
38.5199,-89.8466,191.2
38.2186,-83.143,228.3
42.2288,-88.3496,70.4
39.18122,-88.78266,157.3
35.0349,-82.2274,122.3
36.1607,-83.4609,143.7
36.2677,-83.143,218.6
35.3684,-85.7014,245.3
40.0028,-86.8011,104.3
39.1742,-86.5214,140.9
36.2852,-87.6136,265.5
43.5705,-91.2295,15.2
42.6352,-85.761,118.3
35.6319,-82.3221,105
43.808,-82.9938,64.2
42.8253,-85.5894,111.7
34.92,-82.4254,145.3
42.3263,-84.0133,110.3
42.23472,-85.55194,122.4
42.8742,-85.6221,124.1
40.1636,-92.1658,108.7
43.6263,-85.476,128.9
36.339,-82.8419,162.4
36.1224,-82.8162,137.4
35.4655,-82.4876,135.9
36.0195,-82.8309,139.8
35.7476,-89.0603,342.3
35.589,-82.5428,72.5
43.2388,-88.1222,45.8
35.5698,-86.3291,256.4
36.3211,-87.2218,273.4
41.8741,-88.4727,93.3
39.9484,-90.328,93.8
41.021,-91.9553,59.4
42.4,-88.7424,78
40.6653,-86.955,173.5
42.0597,-88.2334,105.9
42.29806,-83.66388,104.3
41.4123,-86.7603,210.8
41.3322,-87.2155,161.4
41.1338,-85.0307,120.8
40.78333,-91.12528,88.5
37.8339,-87.584,209
41.1026,-85.1083,126.3
42.9919,-85.6944,118.8
41.63278,-91.54306,62.4
41.1535,-85.1329,127.3
41.701,-84.9867,140.2
41.7947,-90.2639,76.2
42.9409,-87.9823,76.1
34.9842,-83.3917,260
42.2122,-88.2444,83.7
41.5919,-85.1012,146.3
41.5997,-85.0895,131.5
42.1739,-88.2993,67.4
41.3658,-83.0754,78.7
35.4319,-82.5375,141.7
35.593,-88.9167,369.6
38.5389,-89.4717,180.2
37.4653,-83.2807,211.3
35.952,-81.8918,133.1
41.1695,-85.0527,123.3
37.378,-89.6677,252.2
41.8929,-87.9296,113.3
42.5608,-87.8155,73.8
36.8825,-83.8819,318.5
42.3245,-88.3946,85.6
41.7304,-88.2376,117.9
43.0053,-85.6411,112.3
42.2416,-83.6933,113.1
38.7603,-89.6563,167.4
42.6001,-90.4237,68.9
35.9953,-84.8929,214.5
35.6887,-81.786,122.4
35.884,-85.045,257.9
35.7266,-81.7902,140.7
41.3831,-83.6111,84.9
37.8194,-85.3847,272.3
42.9697,-85.6075,118.5
36.25251,-81.91352,114.6
42.8972,-85.7791,95.7
41.7431,-87.9746,126.4
41.8752,-87.9211,114
38.7396,-85.4214,180.5
41.2429,-89.8997,96.2
40.6632,-90.4447,117.9
40.3444,-91.1124,128
35.03362,-85.20044,246.4
41.8363,-86.389,147.8
41.8183,-86.3423,191
41.8033,-88.0154,130.6
41.886,-87.621,31.5
42.0481,-88.1162,90.9
43.9887,-84.7023,88.4
37.5664,-85.7368,225
42.2551,-88.864,54.6
41.8634,-88.0829,120.3
40.03972,-88.27778,149.9
42.1256,-86.4284,118.2
35.859,-90.6144,337.6
39.2619,-86.5936,140.2
39.0662,-86.5272,152.6
39.2083,-86.6305,125.7
42.5399,-90.6461,66.7
42.4087,-90.7325,61.1
41.5575,-85.8825,203.9
40.097,-89.2389,107.6
37.7205,-89.263,181.3
39.5894,-89.4555,79.5
38.8663,-90.1463,130.2
38.9852,-91.9682,82.6
38.8052,-91.9465,91
38.6784,-92.1014,85.6
37.8141,-89.2231,162.4
41.6778,-86.0022,287.8
38.2929,-86.9611,245.9
41.3964,-91.5411,57
36.5875,-87.006,216.2
36.354,-82.2486,151.9
35.6381,-87.0864,276.7
36.8681,-84.2072,297.9
41.3415,-85.1292,85.3
42.5597,-87.8566,60.9
42.9269,-83.9894,92.7
41.91444,-88.24639,44.1
40.2969,-86.0574,94
35.9509,-85.0813,266.3
36.4437,-86.7981,246.4
42.5503,-84.8258,110.1
43.3869,-84.6482,85.3
35.6801,-86.6537,251.2
39.2319,-86.6315,177.8
38.4583,-91.7027,153.6
35.3231,-86.7936,279.5
42.64208,-85.28819,133
36.47967,-82.39898,191.9
42.22278,-83.74444,87.5
43.99,-88.9411,36.9
41.9715,-87.8033,120.1
43.4583,-89.7269,37.6
43.7186,-87.7088,47.4
40.8756,-86.0561,130.9
42.0628,-88.2861,90.5
35.3363,-82.6157,160.5
36.6687,-81.9646,168.7
35.291,-82.4143,175
42.9378,-85.6131,122.4
35.3201,-82.3993,184.3
40.2581,-89.367,61
35.28,-82.5309,137.3
34.8842,-82.2209,137.5
39.1284,-88.6908,138.1
43.5288,-88.2657,55.8
35.1579,-84.8204,172.9
35.3578,-82.5039,131.1
35.02695,-82.50145,124.8
41.9953,-88.0527,111.4
40.1498,-87.6267,143.9
39.8469,-82.9872,122.7
40.4661,-87.6854,158.8
40.1491,-87.6431,136.8
42.4077,-82.8891,101.1
35.4308,-82.5242,134.1
43.4838,-83.3919,74.1
35.1342,-86.5419,343.3
39.9275,-89.7964,99.6
38.696,-85.4727,223.4
38.365,-82.555,206.3
36.7867,-90.0013,230.2
38.045,-85.7155,254.4
35.2817,-82.4564,177.1
43.4069,-84.4746,83.6
37.8725,-82.5195,168.3
39.9494,-84.5796,124
43.3139,-88.3574,78.7
40.7472,-91.275,137
43.2313,-88.1023,68.2
36.76,-88.1386,270.4
40.483,-86.3934,92.9
42.0039,-87.9813,104.9
41.5577,-87.6594,130.6
40.2333,-90.9471,84.2
37.3417,-83.4706,220.7
41.5513,-88.9147,84.4
40.2647,-87.6656,169
42.8825,-85.52389,117.5
41.7805,-88.3091,105.3
38.4104,-85.2203,248
36.62389,-87.41944,247.2
39.13333,-86.61667,137.6
40.1526,-84.4613,111.2
39.6688,-89.6711,121
35.5841,-89.2423,319.5
35.3217,-82.6126,169.9
36.5442,-85.1598,289.9
36.1021,-92.2108,208.7
41.8833,-91.7166,40.2
43.3043,-91.7952,38.1
39.1346,-88.5888,138.6
38.7389,-84.8495,239.5
41.123,-88.1257,101.5
36.3772,-85.8983,303.3
39.83444,-88.86556,104.1
40.4666,-86.0508,103
43.3008,-89.3269,58
37.59139,-83.31444,203.4
41.1072,-88.4111,102.8
40.4904,-86.207,107.3
42.3162,-90.2269,110.2
40.0084,-88.7267,119.2
39.7164,-90.2473,117.4
36.1884,-85.9076,264
37.7483,-90.6253,202.4
41.8001,-90.2751,88.6
41.0546,-88.0378,104.6
38.3515,-85.1555,228.5
35.3915,-82.444,141.7
35.2883,-82.4828,162.2
42.2973,-91.0199,69
39.32,-86.73,137.6
41.7823,-87.8622,131.6
37.76083,-90.42833,133.9
38.2196,-84.8336,258.6
42.2313,-83.3308,108.6
41.8436,-90.7275,76.6
41.995,-87.9336,117.9
42.2781,-83.8188,93.8
42.2946,-82.761,100.3
36.2885,-85.8619,313.9
42.2639,-83.8694,94.5
36.2436,-85.9916,279.4
35.9417,-86.8685,265
36.18738,-81.87409,129.7
43.4458,-86.0265,96.1
35.6391,-85.3586,207.9
35.249,-82.5297,176.1
35.3433,-82.5109,167.5
35.2802,-82.4285,172.4
41.1842,-87.2099,188.6
41.1668,-87.264,187.1
41.9227,-88.7607,81
42.3058,-85.2301,132.7
41.6538,-88.8929,73.9
40.1391,-87.6479,146.3
43.34,-88.6005,44.9
43.975,-89.8309,35.6
39.2334,-83.6091,158.5
36.1298,-92.1028,210.2
36.1387,-92.1254,217.2
39.1103,-87.6655,123
40.8821,-91.0234,81.9
40.1206,-88.2614,162.4
35.476,-82.353,156.9
37.5316,-85.735,132
42.9163,-83.5097,93.7
35.2852,-82.5012,167.2
35.1614,-83.3078,181.1
37.8325,-89.0957,198.5
35.247,-83.414,156
35.3528,-82.4424,153.6
43.0596,-89.4819,64.5
38.813,-89.9582,139.2
38.932,-90.1985,117
40.7356,-91.9696,54
37.7922,-90.4102,150.6
40.0528,-88.3729,165.8
42.1984,-87.814,99.7
42.0007,-91.6326,57.5
35.6072,-87.0592,298.3
40.0539,-87.984,176.2
42.1932,-91.7826,56.4
41.1149,-87.1997,173.9
39.3224,-82.0995,192.4
